Track Name,Artist Name,Lyrics,Writers,Producers,Genius_ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,clean_lyrics,Popularity
Locked out of Heaven,Bruno Mars,"87 ContributorsTranslationsEspañolDeutschLocked Out of Heaven Lyrics[Intro: Bruno Mars & Mark Ronson]
(One, two, one, two, three)
Aw, yeah, yeah
Aw, yeah, yeah, yeah, yeah (Uh)
Aw, yeah, yeah
Aw, yeah, yeah, yeah, yeah (Uh)

[Verse 1]
Never had much faith in love or miracles (Uh)
Never wanna put my heart on the line (Uh)
But swimmin' in your water's somethin' spiritual (Uh)
I'm born again every time you spend the night, —ight (Uh)

[Pre-Chorus]
'Cause your sex takes me to paradise
Yeah, your sex takes me to paradise
And it shows
Yeah, yeah, yeah

[Chorus]
'Cause you make me feel like
I've been locked outta heaven
For too long
For too long
Yeah, you make me feel like
I've been locked outta heaven
For too long
For too long
See Bruno Mars LiveGet tickets as low as $63You might also like[Post-Chorus]
Aw, yeah, yeah, yeah, yeah (Uh)
Aw, yeah, yeah
Aw, yeah, yeah, yeah, yeah (Uh)

[Verse 2]
You bring me to my knees, you make me testify (Uh)
You can make a sinner change his ways (Uh)
Open up your gates 'cause I can't wait to see the light (Uh)
And right there is where I wanna stay, —ay (Uh)

[Pre-Chorus]
'Cause your sex takes me to paradise
Yeah, your sex takes me to paradise
And it shows
Yeah, yeah, yeah

[Chorus]
'Cause you make me feel like
I've been locked outta heaven
For too long
For too long
Yeah, you make me feel like
I've been locked outta heaven
For too long
For too long
[Bridge]
Oh, woah, woah, woah
Yeah, yeah, yeah
Can I just stay here?
Spend the rest of my days here?
Oh, woah, woah, woah
Yeah, yeah, yeah
Can I just stay here?
Spend the rest of my days here?

[Chorus]
'Cause you make me feel like
I've been locked outta heaven
For too long
For too long
Yeah, you make me feel like
I've been locked outta heaven
For too long
For too long

[Post-Chorus]
Aw, yeah, yeah, yeah, yeah (Uh)
Aw, yeah, yeah
Aw, yeah, yeah, yeah, yeah (Uh)82Embed","['Jeff Bhasker', 'Emile Haynie', 'Bruno Mars', 'The Smeezingtons']","['Mark Ronson', 'Emile Haynie', 'Jeff Bhasker', 'The Smeezingtons']",90551,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,audio_features,3w3y8KPTfNeOKPiqUTakBh,spotify:track:3w3y8KPTfNeOKPiqUTakBh,https://api.spotify.com/v1/tracks/3w3y8KPTfNeOKPiqUTakBh,https://api.spotify.com/v1/audio-analysis/3w3y8KPTfNeOKPiqUTakBh,233478,4," (one, two, one, two, three) aw, yeah, yeah aw, yeah, yeah, yeah, yeah (uh) aw, yeah, yeah aw, yeah, yeah, yeah, yeah (uh)   'cause your sex takes me to paradise yeah, your sex takes me to paradise and it shows yeah, yeah, yeah   aw, yeah, yeah, yeah, yeah (uh) aw, yeah, yeah aw, yeah, yeah, yeah, yeah (uh)   'cause your sex takes me to paradise yeah, your sex takes me to paradise and it shows yeah, yeah, yeah   oh, woah, woah, woah yeah, yeah, yeah can i just stay here? spend the rest of my days here? oh, woah, woah, woah yeah, yeah, yeah can i just stay here? spend the rest of my days here?   aw, yeah, yeah, yeah, yeah (uh) aw, yeah, yeah aw, yeah, yeah, yeah, yeah (uh)8",87
We Found Love,Rihanna,"69 ContributorsTranslationsPortuguêsEnglishFrançaisDeutschWe Found Love Lyrics[Video Intro: Agyness Deyn]
It's like you're screaming, and no one can hear
You almost feel ashamed, that someone could be that important
That without them, you feel like nothing
No one will ever understand how much it hurts
You feel hopeless, like nothing can save you
And when it's over and it's gone
You almost wish you could have all that bad stuff back
So that you could have the good

[Verse 1]
Yellow diamonds in the light
And we're standing side by side
As your shadow crosses mine
What it takes to come alive

[Pre-Chorus]
It's the way I'm feeling, I just can't deny
But I've gotta let it go

[Chorus]
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
You might also like[Drop]

[Verse 2]
Shine a light through an open door
Love and life, I will divide
Turn away 'cause I need you more
Feel the heartbeat in my mind

[Pre-Chorus]
It's the way I'm feeling, I just can't deny
But I've gotta let it go

[Chorus]
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place

[Bridge]
Yellow diamonds in the light
And we're standing side by side
As your shadow crosses mine

[Chorus]
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
[Drop]

[Chorus]
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place214Embed",['Calvin Harris'],['Calvin Harris'],56642,0.735,0.766,1,-4.485,1,0.0383,0.025,0.00141,0.108,0.6,127.975,audio_features,0U10zFw4GlBacOy9VDGfGL,spotify:track:0U10zFw4GlBacOy9VDGfGL,https://api.spotify.com/v1/tracks/0U10zFw4GlBacOy9VDGfGL,https://api.spotify.com/v1/audio-analysis/0U10zFw4GlBacOy9VDGfGL,215227,4," it's like you're screaming, and no one can hear you almost feel ashamed, that someone could be that important that without them, you feel like nothing no one will ever understand how much it hurts you feel hopeless, like nothing can save you and when it's over and it's gone you almost wish you could have all that bad stuff back so that you could have the good   it's the way i'm feeling, i just can't deny but i've gotta let it go     it's the way i'm feeling, i just can't deny but i've gotta let it go   yellow diamonds in the light and we're standing side by side as your shadow crosses mine    [chorus] we found love in a hopeless place we found love in a hopeless place we found love in a hopeless place we found love in a hopeless place21",78
Call Me Maybe,Carly Rae Jepsen,No lyric found,"['Carly Rae Jepsen', 'Josh Ramsay','Tavish Crowe']",['Josh Ramsay'],No id found,0.782,0.58,7,-6.548,1,0.0407,0.0114,2.28e-06,0.108,0.66,120.021,audio_features,3TGRqZ0a2l1LRblBkJoaDx,spotify:track:3TGRqZ0a2l1LRblBkJoaDx,https://api.spotify.com/v1/tracks/3TGRqZ0a2l1LRblBkJoaDx,https://api.spotify.com/v1/audio-analysis/3TGRqZ0a2l1LRblBkJoaDx,193400,4,"I threw a wish in the well
Don't ask me, I'll never tell
I looked to you as it fell
And now you're in my way

I'd trade my soul for a wish
Pennies and dimes for a kiss
I wasn't looking for this
But now you're in my way

Your stare was holdin'
Ripped jeans, skin was showin'
Hot night, wind was blowin'
Where you think you're going, baby?

Hey, I just met you
And this is crazy
But here's my number
So call me, maybe?

It's hard to look right
At you baby
But here's my number
So call me, maybe?

Hey, I just met you
And this is crazy
But here's my number
So call me, maybe?

And all the other boys
Try to chase me
But here's my number
So call me, maybe?

You took your time with the call
I took no time with the fall
You gave me nothing at all
But still, you're in my way

I beg, and borrow and steal
At first sight and it's real
I didn't know I would feel it
But it's in my way

Your stare was holdin'
Ripped jeans, skin was showin'
Hot night, wind was blowin'
Where you think you're going, baby?

Hey, I just met you
And this is crazy
But here's my number
So call me, maybe?

It's hard to look right
At you baby
But here's my number
So call me, maybe?

Hey, I just met you
And this is crazy
But here's my number
So call me, maybe?

And all the other boys
Try to chase me
But here's my number
So call me, maybe?

Before you came into my life
I missed you so bad
I missed you so bad
I missed you so, so bad

Before you came into my life
I missed you so bad
And you should know that
I missed you so, so bad

It's hard to look right
At you baby
But here's my number
So call me, maybe?

Hey, I just met you
And this is crazy
But here's my number
So call me, maybe?

And all the other boys
Try to chase me
But here's my number
So call me, maybe?

Before you came into my life
I missed you so bad
I missed you so bad
I missed you so, so bad

Before you came into my life
I missed you so bad
And you should know that

So call me, maybe?",72
Boyfriend,Justin Bieber,No lyric found,"['MdL', 'blackbear', 'Mike Posner','Justin Bieber']","['MdL', 'blackbear', 'Mike Posner']",No id found,0.717,0.55,10,-6.019,0,0.0519,0.0358,0.00198,0.126,0.331,96.979,audio_features,2L7rZWg9RLxIwnysmxm4xk,spotify:track:2L7rZWg9RLxIwnysmxm4xk,https://api.spotify.com/v1/tracks/2L7rZWg9RLxIwnysmxm4xk,https://api.spotify.com/v1/audio-analysis/2L7rZWg9RLxIwnysmxm4xk,171333,4,"If I was your boyfriend, I'd never let you go
I could take you places you ain't never been before
Baby, take a chance, or you'll never ever know
I got money in my hands that I'd really like to blow
Swag swag swag, on you
Chillin' by the fire while we eating fondue
I don't know about me, but I know about you
So say hello to falsetto in three, two, swag

I'd like to be everything you want
Hey girl, let me talk to you

If I was your boyfriend, I'd never let you go
Keep you on my arm, girl, you'd never be alone
And I can be a gentleman, anything you want
If I was your boyfriend, I'd never let you go, I'd never let you go

Tell me what you like, yeah, tell me what you don't
I could be your Buzz Lightyear, fly across the globe
I don't never wanna fight, yeah, you already know
I'ma make you shine bright, like you're laying in the snow, burr
Girlfriend, girlfriend, you could be my girlfriend
You could be my girlfriend until the-the-the world ends
Make you dance, do a spin, and a twirl, and
Voice goin' crazy on this hook, like a whirl wind
Swaggy

I'd like to be everything you want
Hey girl, let me talk to you

If I was your boyfriend, I'd never let you go
Keep you on my arm, girl, you'd never be alone
And I can be a gentleman, anything you want
If I was your boyfriend, I'd never let you go, I'd never let you go

So give me a chance 'cause you're all I need, girl
Spend a week with your boy, I'll be calling you my girlfriend
If I was your man (If I was your man), I'd never leave you, girl
I just wanna love and treat you right

If I was your boyfriend, I'd never let you go (Oh yeah)
Keep you on my arm, girl, you'd never be alone (Never be alone)
And I could be a gentleman (A gentleman, ooh), anything you want
If I was your boyfriend (Boyfriend), I'd never let you go
I'd never let you go (If I was your boyfriend)

(Uh) Na-na-na (Yeah), na-na-na, (Uh) na-na-na, yeah, girl
(Uh) Na-na-na (Yeah), na-na-na, yeah, if I was your boyfriend
(Uh) Na-na-na (Yeah), na-na-na, (Uh) na-na-na, hey
(Uh) Na-na-na (Yeah), na-na-na, hey, if I was your boyfriend",59
Lost,Frank Ocean,"126 ContributorsTranslationsEspañolРусскийPortuguêsItalianoSvenskaLost Lyrics[Verse 1]
Double D, big full breasts on my baby
(Yo, we goin' to Florida)
Triple weight
Couldn't weigh the love I've got for the girl
And I just wanna know
Why you ain't been going to work?
Boss ain't workin' you like this
He can't take care of you like this

[Chorus]
Now you're lost, lost in the heat of it all
Girl, you know you're lost, lost in the thrill of it all
Miami, Amsterdam, Tokyo, Spain, lost
Los Angeles, India, lost on a train, lost

[Verse 2]
Got on my buttercream silk shirt and it's Versace
(There he goes, one of God's own prototypes)
Hand me my triple weight
So I can weigh the work I got on you, girl
(Too weird to live and too rare to die)
No, I don't really wish
I don't wish the titties would show
No, have I ever, have I ever let you get caught? (Oh)
You might also like[Chorus]
Lost, lost in the heat of it all
Girl, you know you're lost, lost in the thrill of it all
Miami, Amsterdam, Tokyo, Spain, lost
Los Angeles, India, lost on a train, lost

[Bridge]
She's at a stove (Who?)
Can't believe I got her out here cookin' dope (Cookin' dope)
I promise she'll be whippin' meals up for a family of her own some day
Nothin' wrong (Nothin' wrong)
No, nothin' wrong (Ain't nothin' wrong)
With a lie (Ooh)
Nothin' wrong with another short plane ride (Ain't nothin' wrong, ain't nothin' wrong)
Through the sky (Up in the sky)
You and I (Just you and I)

[Chorus]
Lost (Ooh), lost in the heat of it all
Girl, you know you're lost, lost in the thrill of it all
Miami, Amsterdam, Tokyo, Spain, lost (Ooh)
Los Angeles, India, lost on a train, lost (Ooh)

[Outro]
Love lost, lost
Lo—, lo—, love lost
Lo—, lo—, love lost
Lo—, lo—, love lost
Faith is the substance—
¡Manos arriba!—
Then the other channel on the—128Embed","['Frank Ocean', 'Malay', 'Micah Otano', 'Paul Shelton']","['Frank Ocean', 'Malay', 'Om’Mas Keith']",78963,0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,0.497,123.061,audio_features,3GZD6HmiNUhxXYf8Gch723,spotify:track:3GZD6HmiNUhxXYf8Gch723,https://api.spotify.com/v1/tracks/3GZD6HmiNUhxXYf8Gch723,https://api.spotify.com/v1/audio-analysis/3GZD6HmiNUhxXYf8Gch723,234093,4," double d, big full breasts on my baby (yo, we goin' to florida) triple weight couldn't weigh the love i've got for the girl and i just wanna know why you ain't been going to work? boss ain't workin' you like this he can't take care of you like this   got on my buttercream silk shirt and it's versace (there he goes, one of god's own prototypes) hand me my triple weight so i can weigh the work i got on you, girl (too weird to live and too rare to die) no, i don't really wish i don't wish the titties would show no, have i ever, have i ever let you get caught? (oh) you might also like she's at a stove (who?) can't believe i got her out here cookin' dope (cookin' dope) i promise she'll be whippin' meals up for a family of her own some day nothin' wrong (nothin' wrong) no, nothin' wrong (ain't nothin' wrong) with a lie (ooh) nothin' wrong with another short plane ride (ain't nothin' wrong, ain't nothin' wrong) through the sky (up in the sky) you and i (just you and i)   love lost, lost lo—, lo—, love lost lo—, lo—, love lost lo—, lo—, love lost faith is the substance— ¡manos arriba!— then the other channel on the—12",82
Diamonds,Rihanna,No lyric found,"['Tor Erik Hermansen', 'Mikkel Storleer Eriksen', 'benny blanco','Sia']","['Sia', 'benny blanco','Stargate']",No id found,0.562,0.709,11,-4.92,0,0.0424,0.00124,0.0,0.109,0.401,91.958,audio_features,1z9kQ14XBSN0r2v6fx4IdG,spotify:track:1z9kQ14XBSN0r2v6fx4IdG,https://api.spotify.com/v1/tracks/1z9kQ14XBSN0r2v6fx4IdG,https://api.spotify.com/v1/audio-analysis/1z9kQ14XBSN0r2v6fx4IdG,225147,4,"Shine bright like a diamond
Shine bright like a diamond

Find light in the beautiful sea
I choose to be happy
You and I, you and I
We're like diamonds in the sky

You're a shooting star I see
A vision of ecstasy
When you hold me, I'm alive
We're like diamonds in the sky

I knew that we'd become one right away
Oh, right away
At first sight I felt the energy of sun rays
I saw the life inside your eyes

So shine bright tonight, you and I
We're beautiful like diamonds in the sky
Eye to eye, so alive
We're beautiful like diamonds in the sky

Shine bright like a diamond
Shine bright like a diamond
Shine bright like a diamond
We're beautiful like diamonds in the sky

Shine bright like a diamond
Shine bright like a diamond
Shine bright like a diamond
We're beautiful like diamonds in the sky

Palms rise to the universe
As we moonshine and molly
Feel the warmth, we'll never die
We're like diamonds in the sky

You're a shooting star I see
A vision of ecstasy
When you hold me, I'm alive
We're like diamonds in the sky

At first sight I felt the energy of sun rays
I saw the life inside your eyes

So shine bright tonight, you and I
We're beautiful like diamonds in the sky
Eye to eye, so alive
We're beautiful like diamonds in the sky

Shine bright like a diamond
Shine bright like a diamond
Shine bright like a diamond
We're beautiful like diamonds in the sky

Shine bright like a diamond
Shine bright like a diamond
Shine bright like a diamond
We're beautiful like diamonds in the sky

Shine bright like a diamond
Shine bright like a diamond
Shine bright like a diamond

So shine bright tonight, you and I
We're beautiful like diamonds in the sky
Eye to eye, so alive
We're beautiful like diamonds in the sky

Shine bright like a diamond
Shine bright like a diamond
Shine bright like a diamond
Oh, yeah
Shine bright like a diamond
Shine bright like a diamond
Shine bright like a diamond
Shine bright like a diamond",71
We Are Young (feat. Janelle Monáe),fun.,"180 ContributorsTranslationsDeutschWe Are Young Lyrics[Verse 1: Nate Ruess]
Give me a second I, I need to get my story straight
My friends are in the bathroom getting higher than the Empire State
My lover, she is waiting for me just across the bar
My seat's been taken by some sunglasses askin' 'bout a scar, and
I know I gave it to you months ago
I know you're tryin' to forget
But between the drinks and subtle things
The holes in my apologies
You know, I'm tryin' hard to take it back

[Pre-Chorus: Nate Ruess]
So if by the time the bar closes
And you feel like fallin' down
I'll carry you home

[Chorus: Nate Ruess]
Tonight
We are young
So let's set the world on fire
We can burn brighter than the sun
Tonight
We are young
So let's set the world on fire
We can burn brighter than the sun
You might also like[Verse 2: Nate Ruess]
Now I know that I'm not all that you got
I guess that I, I just thought
Maybe we could find new ways to fall apart
But our friends are back, so let's raise a toast
'Cause I found someone to carry me home

[Chorus: Nate Ruess]
Tonight
We are young
So let's set the world on fire
We can burn brighter than the sun
Tonight
We are young
So let's set the world on fire
We can burn brighter than the sun

[Bridge: Janelle Monáe & Nate Ruess]
Carry me home tonight
(Na-na, na-na-na-na-na-na, na-na-na-na)
Just carry me home tonight
(Na-na, na-na-na-na-na-na, na-na-na-na)
Carry me home tonight
(Na-na, na-na-na-na-na-na, na-na-na-na)
Just carry me home tonight
(Na-na, na-na-na-na-na-na, na-na-na-na)
(Na-na, na-na-na-na-na-na, na-na-na-na)
The moon is on my side, I have no reason to run
(Na-na, na-na-na-na-na-na, na-na-na-na)
So will someone come and carry me home tonight?
(Na-na, na-na-na-na-na-na, na-na-na-na)
The angels never arrived, but I can hear the choir
(Na-na, na-na-na-na-na-na, na-na-na-na)
So will someone come and carry me home?
[Chorus: Nate Ruess]
Tonight
We are young
So let's set the world on fire
We can burn brighter than the sun
Tonight
We are young
So let's set the world on fire
We can burn brighter than the sun

[Outro: Nate Ruess]
So if by the time the bar closes
And you feel like fallin' down
I'll carry you home tonight109Embed","['Jeff Bhasker', 'Nate Ruess', 'Jack Antonoff', 'Andrew Dost']",['Jeff Bhasker'],63985,0.378,0.638,10,-5.576,1,0.075,0.02,7.66e-05,0.0849,0.735,184.086,audio_features,7a86XRg84qjasly9f6bPSD,spotify:track:7a86XRg84qjasly9f6bPSD,https://api.spotify.com/v1/tracks/7a86XRg84qjasly9f6bPSD,https://api.spotify.com/v1/audio-analysis/7a86XRg84qjasly9f6bPSD,250627,4," give me a second i, i need to get my story straight my friends are in the bathroom getting higher than the empire state my lover, she is waiting for me just across the bar my seat's been taken by some sunglasses askin' 'bout a scar, and i know i gave it to you months ago i know you're tryin' to forget but between the drinks and subtle things the holes in my apologies you know, i'm tryin' hard to take it back   tonight we are young so let's set the world on fire we can burn brighter than the sun tonight we are young so let's set the world on fire we can burn brighter than the sun you might also like tonight we are young so let's set the world on fire we can burn brighter than the sun tonight we are young so let's set the world on fire we can burn brighter than the sun   tonight we are young so let's set the world on fire we can burn brighter than the sun tonight we are young so let's set the world on fire we can burn brighter than the sun   so if by the time the bar closes and you feel like fallin' down i'll carry you home tonight10",72
Everybody Talks,Neon Trees,"56 ContributorsEverybody Talks Lyrics[Intro]
Ah-ah-ah-ah
Ahem, ahem

[Verse 1]
Hey, baby, won't you look my way?
I can be your new addiction
Hey, baby, what you got to say?
All you're giving me is fiction
I'm a sorry sucker and this happens all the time

[Pre-Chorus]
I find out that everybody talks
Everybody talks, everybody talks

[Chorus]
It started with a whisper
And that was when I kissed her
And then she made my lips hurt
I can hear the chit-chat
Take me to your love shack
Mama's always gotta backtrack
When everybody talks back

[Verse 2]
Hey, honey, you could be my drug
You could be my new prescription
Too much could be an overdose
All this trash-talk make me itchin'
You might also like[Pre-Chorus]
Oh my, my, shit, everybody talks
Everybody talks, everybody talks
Everybody talks too much

[Chorus]
It started with a whisper
And that was when I kissed her
And then she made my lips hurt
I can hear the chit-chat
Take me to your love shack
Mama's always got a backtrack
When everybody talks back

[Bridge]
Never thought I'd live to see the day (Ah-ah)
When everybody's words got in the way, oh

[Instrumental Break]

[Verse 3]
Hey, sugar, show me all your love
All you're giving me is friction
Hey, sugar, what you gotta say?

[Chorus]
It started with a whisper
And that was when I kissed her
And then she made my lips hurt
I can hear the chit-chat
Take me to your love shack
Mama's always got a backtrack
When everybody talks back
[Post-Chorus]
Everybody talks, everybody talks
Everybody talks, everybody talks
Everybody talks, everybody talks back

[Outro]
It started with a whisper
(Everybody talks, everybody talks)
And that was when I kissed her
(Everybody talks, everybody talks)
Everybody talks, everybody talks back, uh44Embed","['Tim Pagnotta', 'Tyler Glenn']",['Justin Meldal-Johnsen'],116505,0.471,0.924,8,-3.906,1,0.0584,0.00301,0.0,0.313,0.716,154.962,audio_features,2iUmqdfGZcHIhS3b9E9EWq,spotify:track:2iUmqdfGZcHIhS3b9E9EWq,https://api.spotify.com/v1/tracks/2iUmqdfGZcHIhS3b9E9EWq,https://api.spotify.com/v1/audio-analysis/2iUmqdfGZcHIhS3b9E9EWq,177280,4," ah-ah-ah-ah ahem, ahem   i find out that everybody talks everybody talks, everybody talks   hey, honey, you could be my drug you could be my new prescription too much could be an overdose all this trash-talk make me itchin' you might also like it started with a whisper and that was when i kissed her and then she made my lips hurt i can hear the chit-chat take me to your love shack mama's always got a backtrack when everybody talks back     it started with a whisper and that was when i kissed her and then she made my lips hurt i can hear the chit-chat take me to your love shack mama's always got a backtrack when everybody talks back  it started with a whisper (everybody talks, everybody talks) and that was when i kissed her (everybody talks, everybody talks) everybody talks, everybody talks back, uh",79
Starships,Nicki Minaj,No lyric found,"['Rami', 'Bilal “The Chef” Hajji', 'Carl Falk', 'RedOne', 'Wayne Hector', 'Nicki Minaj','Porcelain Black']","['Carl Falk','RedOne','Rami']",No id found,0.747,0.716,11,-2.457,0,0.0751,0.135,0.0,0.251,0.751,125.006,audio_features,1oHNvJVbFkexQc0BpQp7Y4,spotify:track:1oHNvJVbFkexQc0BpQp7Y4,https://api.spotify.com/v1/tracks/1oHNvJVbFkexQc0BpQp7Y4,https://api.spotify.com/v1/audio-analysis/1oHNvJVbFkexQc0BpQp7Y4,210627,4,"RedOne

Let's go to the beach, each
Let's go get a wave
They say, what they gonna say?
Have a drink, clink, found the Bud Light
Bad bitches like me, is hard to come by
The Patrón, own, let's go get it on
The zone, on, yes I'm in the zone
Is it two, three? Leave a good tip
I'ma blow off my money and don't give two shits

I'm on the floor, floor
I love to dance
So give me more, more
'Til I can't stand
Get on the floor, floor
Like it's your last chance
If you want more, more
Then here I am

Starships were meant to fly
Hands up and touch the sky
Can't stop 'cause we're so high
Let's do this one more time
(Oh oh, oh oh)

Starships were meant to fly
Hands up and touch the sky
Let's do this one last time
Can't stop

(We're higher than a motherfucker)
(We're higher than a motherfucker)
(We're higher than a motherfucker)

Jump in my hooptie hooptie hoop
I own that
And I ain't paying my rent this month
I owe that
But fuck who you want, and fuck who you like
Dancehall life, there's no end in sight
Twinkle, twinkle little star

Now everybody let me hear you say ray ray ray
Now spend all your money 'cause today's payday
And if you're a G, you a G, G, G
My name is Onika, you can call me Nicki

Get on the floor, floor
Like it's your last chance
If you want more, more
Then here I am

Starships were meant to fly
Hands up and touch the sky
Can't stop 'cause we're so high
Let's do this one more time
(Oh oh, oh oh)

Starships were meant to fly
Hands up and touch the sky
Let's do this one last time
Can't stop

(We're higher than a motherfucker)
(We're higher than a motherfucker)
(We're higher than a motherfucker)

Starships were meant to fly
Hands up and touch the sky
Can't stop 'cause we're so high
Let's do this one more time
(Oh oh, oh oh)

Starships were meant to fly
Hands up and touch the sky
Let's do this one last time
Can't stop

(We're higher than a motherfucker)
(We're higher than a motherfucker)
(We're higher than a motherfucker)",74
Wild Ones (feat. Sia),Flo Rida,"73 ContributorsTranslationsPortuguêsWild Ones Lyrics[Chorus: Sia]
Hey, I heard you were a wild one
Ooh, ooh
If I took you home, it'd be a home run
Show me how you do
I wanna shut down the club with you
Hey, I heard you like the wild ones, wild ones, wild ones
Ooh, ooh

[Verse 1: Flo Rida]
Oh, I-I like crazy, foolish, stupid
Party goin' wild, fist pumpin' music
I might lose it, glass to the roof
That's how we do's it, do's it, do's it
I don't care tonight, she don't care we like
Almost there, the right vibe, ready to get live
Ain't no surprise, take me so high
Jump and nose dive, surfin’ the crowd
Ooh, ooh
Said, I gotta be the man, I'm the head of my band
Mic check, one, two
Shut 'em down in the club, what a playboy does
And they all get loose, loose off the bottle
We all get bent then again tomorrow
Gotta break rules 'cause that's the motto
Club shut down, a hundred super models
See Flo Rida LiveGet tickets as low as $49You might also like[Chorus: Sia, Sia & Flo Rida]
Hey, I heard you were a wild one
Ooh, ooh
If I took you home, it'd be a home run
Show me how you do
I wanna shut down the club with you
Hey, I heard you like the wild ones, wild ones, wild ones
Ooh, ooh

[Verse 2: Flo Rida]
P-p-party rocker, fa' sho' stopper
More Chambull, number one club popper
Got a hangover like too much vodka
Can't see me with ten binoculars
So cool, no doubt by the end of the night
Got the clothes comin' off then I make that move
Somehow, some way, gotta raise the roof, roof
All black shades when the sun come through
Uh-oh, it's on like everything goes
Wild out, baby, 'til the freak, it shows
What happens to that body is a private show
Stays right here, pri-private show
I like 'em untamed, I'm talkin' high pain
Tolerance, bottoms up with the champagne
My life, call my homie then we hit Spain
Keep it busy with the bail, we get insane
[Chorus: Sia, Sia & Flo Rida]
Hey, I heard you were a wild one
Ooh, ooh
If I took you home, it'd be a home run
Show me how you do
I wanna shut down the club with you
Hey, I heard you like the wild ones, wild ones, wild ones
Ooh, ooh

[Bridge: Sia, Flo Rida & Both]
I am a wild one, break me in (Yeah)
Saddle me up and let's begin (Yeah)
I am a wild one, tame me now (Now)
Running with wolves and I'm on the prowl
Show you another side of me
A side you would never thought you would see
Tear up that body, dominate you 'til you've had enough
I hear you like the wild stuff

[Chorus: Sia & Flo Rida, Sia]
Hey, I heard you were a wild one
Ooh, ooh (Oh)
If I took you home, it'd be a home run
Show me how you do
I wanna shut down the club with you
Hey, I heard you like the wild ones, wild ones, wild ones
Ooh, ooh
[Outro: Sia]
I am a wild one, break me in
Saddle me up and let's begin
I am a wild one, tame me now
Running with wolves and I'm on the prowl17Embed","['Flo Rida', 'SoFLY', 'Nius', 'Sia', 'Axwell', 'Jacob Luttrell', 'Pleasure P', 'Niklaas Vogel-Kern', 'Ben Maddahi']","['SoFLY', 'Nius', 'Axwell', 'DJ Frank E']",68266,0.608,0.86,5,-5.324,0,0.0554,0.0991,0.0,0.262,0.437,127.075,audio_features,1NpW5kyvO4XrNJ3rnfcNy3,spotify:track:1NpW5kyvO4XrNJ3rnfcNy3,https://api.spotify.com/v1/tracks/1NpW5kyvO4XrNJ3rnfcNy3,https://api.spotify.com/v1/audio-analysis/1NpW5kyvO4XrNJ3rnfcNy3,232947,4," hey, i heard you were a wild one ooh, ooh if i took you home, it'd be a home run show me how you do i wanna shut down the club with you hey, i heard you like the wild ones, wild ones, wild ones ooh, ooh   hey, i heard you were a wild one ooh, ooh if i took you home, it'd be a home run show me how you do i wanna shut down the club with you hey, i heard you like the wild ones, wild ones, wild ones ooh, ooh   hey, i heard you were a wild one ooh, ooh if i took you home, it'd be a home run show me how you do i wanna shut down the club with you hey, i heard you like the wild ones, wild ones, wild ones ooh, ooh   hey, i heard you were a wild one ooh, ooh (oh) if i took you home, it'd be a home run show me how you do i wanna shut down the club with you hey, i heard you like the wild ones, wild ones, wild ones ooh, ooh  i am a wild one, break me in saddle me up and let's begin i am a wild one, tame me now running with wolves and i'm on the prowl1",79
