Track Name,Artist Name,Lyrics,Writers,Producers,Genius_ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,clean_lyrics,Popularity
I Wanna Be Yours,Arctic Monkeys,"119 ContributorsTranslationsTürkçeEnglishFrançaisDeutschالعربيةPortuguêsI Wanna Be Yours Lyrics[Verse 1]
I wanna be your vacuum cleaner
Breathin' in your dust
I wanna be your Ford Cortina
I will never rust
If you like your coffee hot
Let me be your coffee pot
You call the shots, babe
I just wanna be yours

[Pre-Chorus]
Secrets I have held in my heart
Are harder to hide than I thought
Maybe I just wanna be yours

[Chorus]
I wanna be yours
I wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours

[Verse 2]
Let me be your 'leccy meter
An' I'll never run out
Let me be the portable heater
That you'll get cold without
I wanna be your setting lotion (Wanna be)
Hold your hair in deep devotion (How deep?)
At least as deep as the Pacific Ocean
I wanna be yours
You might also like[Pre-Chorus]
Secrets I have held in my heart
Are harder to hide than I thought
Maybe I just wanna be yours

[Chorus]
I wanna be yours
I wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours

[Outro]
I wanna be your vacuum cleaner (Wanna be yours)
Breathin' in your dust (Wanna be yours)
I wanna be your Ford Cortina (Wanna be yours)
I will never rust (Wanna be yours)
I just wanna be yours (Wanna be yours)
I just wanna be yours (Wanna be yours)
I just wanna be yours (Wanna be yours)223Embed","['John Cooper Clarke', 'Alex Turner', 'Jamie Cook', 'Matt Helders', 'Nick O’Malley']","['Ross Orton', 'James Ford']",213161,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,audio_features,5XeFesFbtLpXzIVDNQP22n,spotify:track:5XeFesFbtLpXzIVDNQP22n,https://api.spotify.com/v1/tracks/5XeFesFbtLpXzIVDNQP22n,https://api.spotify.com/v1/audio-analysis/5XeFesFbtLpXzIVDNQP22n,183956,4," i wanna be your vacuum cleaner breathin' in your dust i wanna be your ford cortina i will never rust if you like your coffee hot let me be your coffee pot you call the shots, babe i just wanna be yours   i wanna be yours i wanna be yours wanna be yours wanna be yours wanna be yours   secrets i have held in my heart are harder to hide than i thought maybe i just wanna be yours   i wanna be your vacuum cleaner (wanna be yours) breathin' in your dust (wanna be yours) i wanna be your ford cortina (wanna be yours) i will never rust (wanna be yours) i just wanna be yours (wanna be yours) i just wanna be yours (wanna be yours) i just wanna be yours (wanna be yours)22",91
Mirrors,Justin Timberlake,No lyric found,"['Garland “Sebastian” Mosley', 'Chris Godbey', 'J-Roc', 'Justin Timberlake', 'Timbaland','James Fauntleroy']","['J-Roc', 'Justin Timberlake','Timbaland']",No id found,0.574,0.512,5,-6.664,0,0.0503,0.234,0.0,0.0946,0.512,76.899,audio_features,4rHZZAmHpZrA3iH5zx8frV,spotify:track:4rHZZAmHpZrA3iH5zx8frV,https://api.spotify.com/v1/tracks/4rHZZAmHpZrA3iH5zx8frV,https://api.spotify.com/v1/audio-analysis/4rHZZAmHpZrA3iH5zx8frV,484147,4,"Aren't you somethin' to admire?
'Cause your shine is somethin' like a mirror
And I can't help but notice
You reflect in this heart of mine
If you ever feel alone and
The glare makes me hard to find
Just know that I'm always parallel on the other side

'Cause with your hand in my hand and a pocket full of soul
I can tell you there's no place we couldn't go
Just put your hand on the glass
I'm here tryin' to pull you through
You just gotta be strong

'Cause I don't wanna lose you now
I'm lookin' right at the other half of me
The vacancy that sat in my heart
Is a space that now you hold
Show me how to fight for now
And I'll tell you, baby, it was easy
Comin' back here to you once I figured it out
You were right here all along

It's like you're my mirror
My mirror staring back at me
I couldn't get any bigger
With anyone else beside of me
And now it's clear as this promise
That we're making two reflections into one
'Cause it's like you're my mirror
My mirror staring back at me, staring back at me

Aren't you somethin', an original
'Cause it doesn't seem merely a sample
And I can't help but stare, 'cause
I see truth somewhere in your eyes
I can't ever change without you
You reflect me, I love that about you
And if I could, I would look at us all the time

'Cause with your hand in my hand and a pocket full of soul
I can tell you there's no place we couldn't go
Just put your hand on the glass
I'm here tryin' to pull you through
You just gotta be strong

'Cause I don't wanna lose you now
I'm lookin' right at the other half of me
The vacancy that sat in my heart
Is a space that now you hold
Show me how to fight for now
And I'll tell you, baby, it was easy
Comin' back here to you once I figured it out
You were right here all along

It's like you're my mirror
My mirror staring back at me
I couldn't get any bigger
With anyone else beside of me
And now it's clear as this promise
That we're making two reflections into one
'Cause it's like you're my mirror
My mirror staring back at me, staring back at me

Yesterday is history
Tomorrow's a mystery
I can see you lookin' back at me
Keep your eyes on me
Baby, keep your eyes on me

'Cause I don't wanna lose you now
I'm lookin' right at the other half of me
The vacancy that sat in my heart
Is a space that now you hold
Show me how to fight for now (please show me, baby)
I'll tell you, baby, it was easy
Comin' back here to you once I figured it out
You were right here all along

It's like you're my mirror
My mirror staring back at me
I couldn't get any bigger
With anyone else beside of me
And now it's clear as this promise
That we're making two reflections into one
'Cause it's like you're my mirror
My mirror staring back at me, staring back at me

You are, you are the love of my life [10x]

Now you're the inspiration of this precious song
And I just wanna see your face light up since you put me on
So now I say goodbye to the old me, it's already gone
And I can't wait wait wait wait wait to get you home
Just to let you know, you are

You are, you are the love of my life [8x]

Girl you're my reflection, all I see is you
My reflection, in everything I do
You're my reflection and all I see is you
My reflection, in everything I do

You are, you are the love of my life",79
Blurred Lines,Robin Thicke,"251 ContributorsTranslationsPortuguêsBlurred Lines Lyrics[Intro: Pharrell Williams & Robin Thicke]
Everybody get up
Everybody get up
Hey, hey, hey
Hey, hey, hey (Uh)
Hey, hey, hey (Ha-ha Woo)
Tune me up

[Verse 1: Robin Thicke]
If you can't hear what I'm trying to say (Hey, girl, come here)
If you can't read from the same page (Hey)
Maybe I'm going deaf (Hey, hey, hey)
Maybe I'm going blind (Hey, hey, hey)
Maybe I'm out of my mind (Hey, hey, hey)
Everybody get up

[Pre-Chorus: Robin Thicke]
Okay, now he was close
Tried to domesticate you
But you're an animal
Baby, it's in your nature (Meow)
Just let me liberate you (Hey, hey, hey)
You don't need no takers (Hey, hey, hey)
That man is not your maker (Hey, hey, hey)
And that's why I'm gon' take a (Everybody get up)
You might also like[Chorus: Robin Thicke]
Good girl
I know you want it (Hey)
I know you want it
I know you want it
You're a good girl
Can't let it get past me
You're far from plastic (Alright)
Talkin' 'bout getting blasted
I hate these blurred lines
I know you want it (Hey)
I know you want it (Oh yeah)
I know you want it
But you're a good girl
The way you grab me
Must wanna get nasty
Go ahead, get at me
Everybody get up (Come on)

[Verse 2: Robin Thicke]
What do they make dreams for (Why?)
When you got them jeans on? (Why?)
What do we need steam for?
You the hottest bitch in this place
I feel so lucky (Hey, hey, hey)
You wanna hug me (Hey, hey, hey)
What rhymes with hug me? (Hey, hey, hey)
Hey (Everybody get up)
[Pre-Chorus: Robin Thicke]
Okay, now he was close
Tried to domesticate you
But you're an animal
Baby, it's in your nature (Uh-huh)
Just let me liberate you (Hey, hey, hey) (Uh-huh)
You don't need no takers (Hey, hey, hey) (Uh-huh)
That man is not your maker (Hey, hey, hey) (Uh-huh)
And that's why I'm gon' take a (Everybody get up)

[Chorus: Robin Thicke]
Good girl
I know you want it
I know you want it (Hey)
I know you want it
You're a good girl
Can't let it get past me (Hey)
You're far from plastic (Oh)
Talkin' 'bout getting blasted (Everybody get up)
I hate these blurred lines (Hate them lines)
I know you want it (I hate them lines)
I know you want it (I hate them lines)
I know you want it
But you're a good girl (Good girl)
The way you grab me
Must wanna get nasty
Go ahead, get at me (Everybody get up)
[Verse 3: T.I.]
Hustle Gang, homie
Let go
Ay, say Rob, let me holla at 'em real quick
One thing I ask of you
Let me be the one you back that ass up to (Come on)
Go from Malibu to Paris, boo (Yeah)
Had a bitch, but she ain't bad as you
So, hit me up when you pass through
I'll give you something big enough to tear your ass in two
Swag on 'em even when you dress casual
I mean, it's almost unbearable (Everybody get up)
In a hundred years not dare would I
Pull a Pharcyde, let you pass me by
Nothin' like your last guy, he too square for you
He don't smack that ass and pull your hair like that
So I'm just watchin' and waitin'
For you to salute the true big pimpin' (Okay)
Not many women can refuse this pimpin'
I'm a nice guy, but don't get it confused, get pimpin' (Everybody get up)

[Breakdown: Robin Thicke]
Shake your rump
Get down, get up-a
Do it like it hurt, like it hurt
What, you don't like work?
Hey (Everybody get up)

[Verse 4: Robin Thicke]
Baby, can you breathe?
I got this from Jamaica
It always works for me
Dakota to Decatur (Uh-huh)
No more pretending (Hey, hey, hey) (Uh-huh)
'Cause now you're winning (Hey, hey, hey) (Uh-huh)
Here's our beginning (Hey, hey, hey) (Uh-huh)
I always wanted a

[Chorus: Robin Thicke]
You're a good girl (Everybody get up)
I know you want it (Hey)
I know you want it
I know you want it
You're a good girl
Can't let it get past me (Oh yeah)
You're far from plastic (Alright)
Talkin' 'bout getting blasted
I hate these blurred lines (Everybody get up)
I know you want it (Hey)
I know you want it (Oh yeah)
I know you want it
But you're a good girl
The way you grab me
Must wanna get nasty (Hey)
Go ahead, get at me

[Outro: Pharrell Williams & Robin Thicke]
Everybody get up
Everybody get up
Hey, hey, hey
Hey, hey, hey
Hey, hey, hey111Embed","['Robin Thicke', 'Pharrell Williams', 'T.I.', 'Marvin Gaye', 'Ed Townsend']",['Pharrell Williams'],131845,0.861,0.504,7,-7.707,1,0.0489,0.00412,1.78e-05,0.0783,0.881,120.0,audio_features,5PUvinSo4MNqW7vmomGRS7,spotify:track:5PUvinSo4MNqW7vmomGRS7,https://api.spotify.com/v1/tracks/5PUvinSo4MNqW7vmomGRS7,https://api.spotify.com/v1/audio-analysis/5PUvinSo4MNqW7vmomGRS7,263053,4," everybody get up everybody get up hey, hey, hey hey, hey, hey (uh) hey, hey, hey (ha-ha woo) tune me up   okay, now he was close tried to domesticate you but you're an animal baby, it's in your nature (meow) just let me liberate you (hey, hey, hey) you don't need no takers (hey, hey, hey) that man is not your maker (hey, hey, hey) and that's why i'm gon' take a (everybody get up) you might also like what do they make dreams for (why?) when you got them jeans on? (why?) what do we need steam for? you the hottest bitch in this place i feel so lucky (hey, hey, hey) you wanna hug me (hey, hey, hey) what rhymes with hug me? (hey, hey, hey) hey (everybody get up)  good girl i know you want it i know you want it (hey) i know you want it you're a good girl can't let it get past me (hey) you're far from plastic (oh) talkin' 'bout getting blasted (everybody get up) i hate these blurred lines (hate them lines) i know you want it (i hate them lines) i know you want it (i hate them lines) i know you want it but you're a good girl (good girl) the way you grab me must wanna get nasty go ahead, get at me (everybody get up)  shake your rump get down, get up-a do it like it hurt, like it hurt what, you don't like work? hey (everybody get up)   you're a good girl (everybody get up) i know you want it (hey) i know you want it i know you want it you're a good girl can't let it get past me (oh yeah) you're far from plastic (alright) talkin' 'bout getting blasted i hate these blurred lines (everybody get up) i know you want it (hey) i know you want it (oh yeah) i know you want it but you're a good girl the way you grab me must wanna get nasty (hey) go ahead, get at me   everybody get up everybody get up hey, hey, hey hey, hey, hey hey, hey, hey",53
Royals,Lorde,No lyric found,"['Joel Little','Lorde']",['Joel Little'],No id found,0.674,0.426,7,-9.504,1,0.122,0.12,0.0,0.132,0.337,84.876,audio_features,2dLLR6qlu5UJ5gk0dKz0h3,spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,https://api.spotify.com/v1/tracks/2dLLR6qlu5UJ5gk0dKz0h3,https://api.spotify.com/v1/audio-analysis/2dLLR6qlu5UJ5gk0dKz0h3,190185,4,"I've never seen a diamond in the flesh
I cut my teeth on wedding rings in the movies
And I'm not proud of my address
In a torn-up town, no postcode envy

But every song's like gold teeth, Grey Goose, trippin' in the bathroom
Bloodstains, ball gowns, trashin' the hotel room
We don't care, we're driving Cadillacs in our dreams
But everybody's like Cristal, Maybach, diamonds on your timepiece
Jet planes, islands, tigers on a gold leash
We don't care, we aren't caught up in your love affair

And we'll never be royals (royals)
It don't run in our blood
That kind of luxe just ain't for us
We crave a different kind of buzz
Let me be your ruler (ruler)
You can call me Queen Bee
And baby I'll rule, I'll rule, I'll rule, I'll rule
Let me live that fantasy

My friends and I, we've cracked the code
We count our dollars on the train to the party
And everyone who knows us knows that we're fine with this
We didn't come from money

But every song's like gold teeth, Grey Goose, trippin' in the bathroom
Bloodstains, ball gowns, trashin' the hotel room
We don't care, we're driving Cadillacs in our dreams
But everybody's like Cristal, Maybach, diamonds on your timepiece
Jet planes, islands, tigers on a gold leash
We don't care, we aren't caught up in your love affair

And we'll never be royals (royals)
It don't run in our blood
That kind of luxe just ain't for us
We crave a different kind of buzz
Let me be your ruler (ruler)
You can call me Queen Bee
And baby I'll rule, I'll rule, I'll rule, I'll rule
Let me live that fantasy

Ooh ooh oh
We're bigger than we ever dreamed
And I'm in love with being queen
Ooh ooh oh
Life is great without a care
We aren't caught up in your love affair

And we'll never be royals (royals)
It don't run in our blood
That kind of luxe just ain't for us
We crave a different kind of buzz
Let me be your ruler (ruler)
You can call me Queen Bee
And baby I'll rule, I'll rule, I'll rule, I'll rule
Let me live that fantasy",77
Locked out of Heaven,Bruno Mars,"87 ContributorsTranslationsEspañolDeutschLocked Out of Heaven Lyrics[Intro: Bruno Mars & Mark Ronson]
(One, two, one, two, three)
Aw, yeah, yeah
Aw, yeah, yeah, yeah, yeah (Uh)
Aw, yeah, yeah
Aw, yeah, yeah, yeah, yeah (Uh)

[Verse 1]
Never had much faith in love or miracles (Uh)
Never wanna put my heart on the line (Uh)
But swimmin' in your water's somethin' spiritual (Uh)
I'm born again every time you spend the night, —ight (Uh)

[Pre-Chorus]
'Cause your sex takes me to paradise
Yeah, your sex takes me to paradise
And it shows
Yeah, yeah, yeah

[Chorus]
'Cause you make me feel like
I've been locked outta heaven
For too long
For too long
Yeah, you make me feel like
I've been locked outta heaven
For too long
For too long
See Bruno Mars LiveGet tickets as low as $63You might also like[Post-Chorus]
Aw, yeah, yeah, yeah, yeah (Uh)
Aw, yeah, yeah
Aw, yeah, yeah, yeah, yeah (Uh)

[Verse 2]
You bring me to my knees, you make me testify (Uh)
You can make a sinner change his ways (Uh)
Open up your gates 'cause I can't wait to see the light (Uh)
And right there is where I wanna stay, —ay (Uh)

[Pre-Chorus]
'Cause your sex takes me to paradise
Yeah, your sex takes me to paradise
And it shows
Yeah, yeah, yeah

[Chorus]
'Cause you make me feel like
I've been locked outta heaven
For too long
For too long
Yeah, you make me feel like
I've been locked outta heaven
For too long
For too long
[Bridge]
Oh, woah, woah, woah
Yeah, yeah, yeah
Can I just stay here?
Spend the rest of my days here?
Oh, woah, woah, woah
Yeah, yeah, yeah
Can I just stay here?
Spend the rest of my days here?

[Chorus]
'Cause you make me feel like
I've been locked outta heaven
For too long
For too long
Yeah, you make me feel like
I've been locked outta heaven
For too long
For too long

[Post-Chorus]
Aw, yeah, yeah, yeah, yeah (Uh)
Aw, yeah, yeah
Aw, yeah, yeah, yeah, yeah (Uh)82Embed","['Jeff Bhasker', 'Emile Haynie', 'Bruno Mars', 'The Smeezingtons']","['Mark Ronson', 'Emile Haynie', 'Jeff Bhasker', 'The Smeezingtons']",90551,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,audio_features,3w3y8KPTfNeOKPiqUTakBh,spotify:track:3w3y8KPTfNeOKPiqUTakBh,https://api.spotify.com/v1/tracks/3w3y8KPTfNeOKPiqUTakBh,https://api.spotify.com/v1/audio-analysis/3w3y8KPTfNeOKPiqUTakBh,233478,4," (one, two, one, two, three) aw, yeah, yeah aw, yeah, yeah, yeah, yeah (uh) aw, yeah, yeah aw, yeah, yeah, yeah, yeah (uh)   'cause your sex takes me to paradise yeah, your sex takes me to paradise and it shows yeah, yeah, yeah   aw, yeah, yeah, yeah, yeah (uh) aw, yeah, yeah aw, yeah, yeah, yeah, yeah (uh)   'cause your sex takes me to paradise yeah, your sex takes me to paradise and it shows yeah, yeah, yeah   oh, woah, woah, woah yeah, yeah, yeah can i just stay here? spend the rest of my days here? oh, woah, woah, woah yeah, yeah, yeah can i just stay here? spend the rest of my days here?   aw, yeah, yeah, yeah, yeah (uh) aw, yeah, yeah aw, yeah, yeah, yeah, yeah (uh)8",87
Why'd You Only Call Me When You're High?,Arctic Monkeys,"90 ContributorsTranslationsFrançaisفارسیDeutschEspañolWhy’d You Only Call Me When You’re High? Lyrics[Verse 1]
The mirror's image tells me it's home time
But I'm not finished, 'cause you're not by my side
And as I arrived I thought I saw you leavin'
Carryin' your shoes
Decided that once again I was just dreamin'
Of bumpin' into you

[Chorus]
Now, it's three in the mornin'
And I'm tryna' change your mind
Left you multiple missed calls
And to my message, you reply
""Why'd you only call me when you're high?""
""Hi, why'd you only call me when you're high?""

[Verse 2]
Somewhere darker, talkin' the same shite
I need a partner, (High) well are you out tonight?
It's harder and harder to get you to listen
More I get through the gears
Incapable of makin' alright decisions
And having bad ideas

[Chorus]
Now, it's three in the mornin'
And I'm tryna' change your mind
Left you multiple missed calls
And to my message, you reply (Message, you reply)
""Why'd you only call me when you're high?""
(Why'd you only call me when you're)
""Hi, why'd you only call me when you're high?""
You might also like[Bridge]
And I can't see you here, wonder where I might
It sort of feels like I'm runnin' out of time
I haven't found all I was hopin' to find
You said you got to be up in the mornin'
Gonna have an early night
And you're startin' to bore me, baby
""Why'd you only call me when you're high?""

[Outro]
""Why'd you only ever phone me when you're high?""
""Why'd you only ever phone me when you're high?""
""Why'd you only ever phone me when you're high?""
""Why'd you only ever phone me when you're (high)?""228Embed","['Alex Turner', 'Jamie Cook', 'Matt Helders', 'Nick O’Malley']","['Ross Orton', 'James Ford']",197412,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,audio_features,086myS9r57YsLbJpU0TgK9,spotify:track:086myS9r57YsLbJpU0TgK9,https://api.spotify.com/v1/tracks/086myS9r57YsLbJpU0TgK9,https://api.spotify.com/v1/audio-analysis/086myS9r57YsLbJpU0TgK9,161124,4," the mirror's image tells me it's home time but i'm not finished, 'cause you're not by my side and as i arrived i thought i saw you leavin' carryin' your shoes decided that once again i was just dreamin' of bumpin' into you   somewhere darker, talkin' the same shite i need a partner, (high) well are you out tonight? it's harder and harder to get you to listen more i get through the gears incapable of makin' alright decisions and having bad ideas   and i can't see you here, wonder where i might it sort of feels like i'm runnin' out of time i haven't found all i was hopin' to find you said you got to be up in the mornin' gonna have an early night and you're startin' to bore me, baby ""why'd you only call me when you're high?""  [outro] ""why'd you only ever phone me when you're high?"" ""why'd you only ever phone me when you're high?"" ""why'd you only ever phone me when you're high?"" ""why'd you only ever phone me when you're (high)?""22",85
Demons,Imagine Dragons,"290 ContributorsTranslationsTürkçePortuguêsPolskiFrançaisEspañolDeutschDemons Lyrics[Verse 1]
When the days are cold and the cards all fold
And the saints we see are all made of gold
When your dreams all fail and the ones we hail
Are the worst of all, and the blood's run stale

[Pre-Chorus]
I wanna hide the truth, I wanna shelter you
But with the beast inside, there's nowhere we can hide
No matter what we breed, we still are made of greed
This is my kingdom come, this is my kingdom come

[Chorus]
When you feel my heat, look into my eyes
It's where my demons hide, it's where my demons hide
Don't get too close, it's dark inside
It's where my demons hide, it's where my demons hide

[Verse 2]
At the curtain's call it's the last of all
When the lights fade out, all the sinners crawl
So they dug your grave and the masquerade
Will come calling out at the mess you've made

[Pre-Chorus]
Don't wanna let you down, but I am hell-bound
Though this is all for you, don't wanna hide the truth
No matter what we breed, we still are made of greed
This is my kingdom come, this is my kingdom come
See Imagine Dragons LiveGet tickets as low as $25You might also like[Chorus]
When you feel my heat, look into my eyes
It's where my demons hide, it's where my demons hide
Don't get too close, it's dark inside
It's where my demons hide, it's where my demons hide

[Bridge]
They say it's what you make, I say it's up to fate
It's woven in my soul, I need to let you go
Your eyes, they shine so bright, I wanna save that light
I can't escape this now, unless you show me how

[Chorus]
When you feel my heat, look into my eyes
It's where my demons hide, it's where my demons hide
Don't get too close, it's dark inside
It's where my demons hide, it's where my demons hide402Embed","['Dan Reynolds', 'Wayne Sermon', 'Ben McKee', 'Josh Mosser', 'Alex da Kid']",['Alex da Kid'],109206,0.5,0.71,3,-3.015,1,0.0339,0.19,0.00025,0.269,0.419,89.929,audio_features,5qaEfEh1AtSdrdrByCP7qR,spotify:track:5qaEfEh1AtSdrdrByCP7qR,https://api.spotify.com/v1/tracks/5qaEfEh1AtSdrdrByCP7qR,https://api.spotify.com/v1/audio-analysis/5qaEfEh1AtSdrdrByCP7qR,177507,4," when the days are cold and the cards all fold and the saints we see are all made of gold when your dreams all fail and the ones we hail are the worst of all, and the blood's run stale   when you feel my heat, look into my eyes it's where my demons hide, it's where my demons hide don't get too close, it's dark inside it's where my demons hide, it's where my demons hide   don't wanna let you down, but i am hell-bound though this is all for you, don't wanna hide the truth no matter what we breed, we still are made of greed this is my kingdom come, this is my kingdom come see imagine dragons liveget tickets as low as $5you might also like they say it's what you make, i say it's up to fate it's woven in my soul, i need to let you go your eyes, they shine so bright, i wanna save that light i can't escape this now, unless you show me how  [chorus] when you feel my heat, look into my eyes it's where my demons hide, it's where my demons hide don't get too close, it's dark inside it's where my demons hide, it's where my demons hide40",84
Wake Me Up,Avicii,No lyric found,"['Mike Einziger', 'Avicii', 'Aloe Blacc','Arash Pournouri']","['Avicii','Arash Pournouri']",No id found,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,audio_features,0nrRP2bk19rLc0orkWPQk2,spotify:track:0nrRP2bk19rLc0orkWPQk2,https://api.spotify.com/v1/tracks/0nrRP2bk19rLc0orkWPQk2,https://api.spotify.com/v1/audio-analysis/0nrRP2bk19rLc0orkWPQk2,247427,4,"Feeling my way through the darkness
Guided by a beating heart
I can't tell where the journey will end
But I know where to start

They tell me I'm too young to understand
They say I'm caught up in a dream
Well life will pass me by if I don't open up my eyes
Well that's fine by me

[2x]
So wake me up when it's all over
When I'm wiser and I'm older
All this time I was finding myself
And I didn't know I was lost

I tried carrying the weight of the world
But I only have two hands
Hope I get the chance to travel the world
But I don't have any plans

Wish that I could stay forever this young
Not afraid to close my eyes
Life's a game made for everyone
And love is the prize

[2x]
So wake me up when it's all over
When I'm wiser and I'm older
All this time I was finding myself
And I didn't know I was lost

Didn't know I was lost
I didn't know I was lost
I didn't know I was lost
I didn't know (didn't know, didn't know)",86
Safe And Sound,Capital Cities,"62 ContributorsTranslationsDeutschSafe and Sound Lyrics[Verse 1]
I could lift you up
I could show you what you wanna see
And take you where you wanna be
You could be my luck
Even if the sky is falling down
I know that we'll be safe and sound

[Chorus]
We're safe and sound

[Verse 2]
I could fill your cup
You know my river won't evaporate
This world we still appreciate
You could be my luck
Even in a hurricane of frowns
I know that we'll be safe and sound

[Chorus]
(Safe and sound)
We're safe and sound
(Safe and sound)
We're safe and sound
(Hold your ground)
We're safe and sound
(Safe and sound)
You might also like[Verse 3]
I could show you love
In a tidal wave of mystery
You'll still be standing next to me
You could be my luck
Even if we're six feet underground
I know that we'll be safe and sound

[Chorus]
We're safe and sound
(Safe and sound)
(Safe and sound)
(Hold your ground)
(Safe and sound)

[Bridge]
I could lift you up
I could show you what you wanna see
And take you where you wanna be
You could be my luck
Even if the sky is falling down
I know that we'll be safe and sound

[Verse 4]
I could lift you up
I could show you what you wanna see
And take you where you wanna be
You could be my luck
Even if the sky is falling down
I know that we'll be safe and sound
[Chorus]
We're safe and sound
We're safe and sound
We're safe and sound
We're safe and sound
(Safe and sound)
We're safe and sound
(Safe and sound)
We're safe and sound
(Hold your ground)
We're safe and sound
(Safe and sound)
We're safe and sound89Embed","['Sebu', 'Ryan Merchant']","['Ryan Merchant', 'Sebu']",156070,0.655,0.819,0,-4.852,1,0.0316,0.000176,0.00374,0.104,0.766,117.956,audio_features,6Z8R6UsFuGXGtiIxiD8ISb,spotify:track:6Z8R6UsFuGXGtiIxiD8ISb,https://api.spotify.com/v1/tracks/6Z8R6UsFuGXGtiIxiD8ISb,https://api.spotify.com/v1/audio-analysis/6Z8R6UsFuGXGtiIxiD8ISb,192790,5, i could lift you up i could show you what you wanna see and take you where you wanna be you could be my luck even if the sky is falling down i know that we'll be safe and sound   i could fill your cup you know my river won't evaporate this world we still appreciate you could be my luck even in a hurricane of frowns i know that we'll be safe and sound   i could show you love in a tidal wave of mystery you'll still be standing next to me you could be my luck even if we're six feet underground i know that we'll be safe and sound   i could lift you up i could show you what you wanna see and take you where you wanna be you could be my luck even if the sky is falling down i know that we'll be safe and sound   we're safe and sound we're safe and sound we're safe and sound we're safe and sound (safe and sound) we're safe and sound (safe and sound) we're safe and sound (hold your ground) we're safe and sound (safe and sound) we're safe and sound8,82
Just Give Me a Reason (feat. Nate Ruess),P!nk,"92 ContributorsTranslationsΕλληνικάDeutschJust Give Me a Reason Lyrics[Verse 1: P!nk]
Right from the start
You were a thief, you stole my heart
And I, your willing victim
I let you see the parts of me
That weren't all that pretty
And with every touch, you fixed them

[Pre-Chorus: P!nk]
Now you've been talkin' in your sleep, oh, oh
Things you never say to me, oh, oh
Tell me that you've had enough of our love, our love

[Chorus: P!nk]
Just give me a reason
Just a little bit's enough
Just a second, we're not broken, just bent
And we can learn to love again
It's in the stars
It's been written in the scars on our hearts
We're not broken, just bent
And we can learn to love again

[Verse 2: Nate Ruess, P!nk]
I'm sorry I don't understand
Where all of this is coming from
I thought that we were fine
Oh, we had everything
Your head is runnin' wild again
My dear, we still have everythin'
And it's all in your mind
Yeah, but this is happenin'
See P!nk LiveGet tickets as low as $9You might also like[Pre-Chorus: Nate Ruess, P!nk & Nate Ruess, P!nk]
You've been havin' real bad dreams, oh, oh
You used to lie so close to me, oh, oh
There's nothin' more than empty sheets between our love, our love
Oh, our love, our love, love

[Chorus: P!nk & Nate Ruess, Nate Ruess]
Just give me a reason
Just a little bit's enough
Just a second, we're not broken, just bent
And we can learn to love again
I never stopped
You're still written in the scars on my heart
You're not broken, just bent
And we can learn to love again

[Bridge: P!nk, Nate Ruess]
Oh, tears ducts and rust
I'll fix it for us
We're collecting dust
But our love's enough
You're holdin' it in
You're pourin' a drink
No, nothin' is as bad as it seems
We'll come clean
[Chorus: P!nk & Nate Ruess]
Just give me a reason
Just a little bit's enough
Just a second, we're not broken, just bent
And we can learn to love again
It's in the stars
It's been written in the scars on our hearts
That we're not broken, just bent
And we can learn to love again
Just give me a reason
Just a little bit's enough
Just a second we're not broken, just bent
And we can learn to love again
It's in the stars
It's still written in the scars on our hearts
That we're not broken, just bent
And we can learn to love again

[Outro: P!nk]
Oh, we can learn to love again
Oh, can learn to love again
Oh, that we're not broken, just bent
And we can learn to love again80Embed","['P!nk', 'Jeff Bhasker', 'Nate Ruess']",['Jeff Bhasker'],108589,0.778,0.547,2,-7.273,1,0.0489,0.344,0.000306,0.132,0.442,95.0,audio_features,1mKXFLRA179hdOWQBwUk9e,spotify:track:1mKXFLRA179hdOWQBwUk9e,https://api.spotify.com/v1/tracks/1mKXFLRA179hdOWQBwUk9e,https://api.spotify.com/v1/audio-analysis/1mKXFLRA179hdOWQBwUk9e,242733,4," right from the start you were a thief, you stole my heart and i, your willing victim i let you see the parts of me that weren't all that pretty and with every touch, you fixed them   just give me a reason just a little bit's enough just a second, we're not broken, just bent and we can learn to love again it's in the stars it's been written in the scars on our hearts we're not broken, just bent and we can learn to love again   you've been havin' real bad dreams, oh, oh you used to lie so close to me, oh, oh there's nothin' more than empty sheets between our love, our love oh, our love, our love, love   oh, tears ducts and rust i'll fix it for us we're collecting dust but our love's enough you're holdin' it in you're pourin' a drink no, nothin' is as bad as it seems we'll come clean  oh, we can learn to love again oh, can learn to love again oh, that we're not broken, just bent and we can learn to love again8",85
